id_artista,name,followers,genres
339,Alfredo Olivas,4763267.0,"banda, musica mexicana, nueva musica mexicana"
340,Limp Bizkit,4761894.0,"alternative metal, funk metal, nu metal, rap metal"
341,El Fantasma,4760064.0,"banda, corrido, musica mexicana, nueva musica mexicana"
342,Phil Collins,4751557.0,"mellow gold, rock drums, soft rock"
343,Lil Mosey,4746282.0,"melodic rap, rap, rap conscient, trap, vapor trap, viral rap"
344,Depeche Mode,4721947.0,"dance rock, new romantic, new wave, permanent wave, synthpop"
345,Natanael Cano,4713040.0,"corrido, corridos tumbados, musica mexicana, nueva musica mexicana, sierreno"
346,Mc Don Juan,4706881.0,"arrocha, batidao romantico, funk carioca, funk paulista"
347,The Offspring,4697248.0,"alternative metal, permanent wave, punk, rock, skate punk, socal pop punk"
348,Marvin Gaye,4690908.0,"classic soul, funk, indie r&b, motown, northern soul, quiet storm, soul"
349,The Who,4687612.0,"album rock, art rock, blues rock, british invasion, classic rock, hard rock, mellow gold, psychedelic rock, rock"
350,Bruno & Marrone,4681367.0,"sertanejo, sertanejo pop, sertanejo universitario"
351,Jon Z,4671457.0,"reggaeton, reggaeton flow, trap latino"
352,Mc Kevin,4669500.0,"funk carioca, funk ostentacao, funk paulista"
353,Amr Diab,4653784.0,"arab pop, belly dance, egyptian pop, persian pop, rif"
354,French Montana,4648251.0,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
355,Alexis y Fido,4599662.0,"latin hip hop, reggaeton, reggaeton flow, trap latino"
356,Tory Lanez,4595919.0,"canadian hip hop, canadian trap, melodic rap, pop, pop rap, r&b, rap, toronto rap, trap"
357,Billy Joel,4579078.0,"classic rock, folk rock, mellow gold, piano rock, rock, singer-songwriter, soft rock"
358,Pablo Alborán,4577953.0,"latin arena pop, latin pop, spanish pop"
359,$uicideboy$,4561646.0,"dark trap, new orleans rap, underground hip hop"
360,ONE OK ROCK,4559309.0,"j-pop, j-poprock, j-rock, japanese emo, visual kei"
361,Gunna,4558790.0,"atl hip hop, melodic rap, rap, trap"
362,Ella Mai,4555178.0,"dance pop, pop, r&b, rap, uk contemporary r&b, urban contemporary"
363,Lary Over,4549942.0,"latin hip hop, reggaeton, reggaeton flow, trap latino"
364,Julia Michaels,4541950.0,"alt z, dance pop, electropop, pop, post-teen pop"
365,Lil Durk,4537095.0,"chicago drill, chicago rap, drill, hip hop, rap, trap"
366,Journey,4536771.0,"album rock, classic rock, hard rock, mellow gold, rock, soft rock"
367,The Strokes,4523700.0,"alternative rock, garage rock, modern rock, permanent wave, rock"
368,Calum Scott,4503839.0,"neo mellow, pop, uk pop"
369,Ludwig van Beethoven,4497004.0,"classical, classical era, early romantic era, german romanticism"
370,Gucci Mane,4454550.0,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
371,KHEA,4437145.0,"argentine hip hop, trap argentino, trap latino, trap triste"
372,DIVINE,4435591.0,"desi hip hop, desi pop, desi trap, hindi hip hop"
373,Papa Roach,4434113.0,"alternative metal, nu metal, rap metal, rap rock"
374,Sabrina Carpenter,4426895.0,"alt z, dance pop, electropop, pop, post-teen pop, uk pop"
375,Carin Leon,4425171.0,"corrido, musica mexicana, nueva musica mexicana, sierreno"
376,Bring Me The Horizon,4421272.0,"melodic metalcore, metalcore, rock, uk metalcore"
377,Mithoon,4408039.0,"desi pop, filmi, modern bollywood, sufi"
378,N.W.A.,4406958.0,"conscious hip hop, gangster rap, golden age hip hop, hardcore hip hop, hip hop, old school hip hop, rap, west coast rap"
379,Ozzy Osbourne,4390619.0,"album rock, birmingham metal, hard rock, metal, rock"
380,Dadju,4386145.0,"francoton, french hip hop, pop urbaine"
381,La Adictiva Banda San José de Mesillas,4362521.0,"banda, musica mexicana, nueva musica mexicana, ranchera"
382,Zoé,4360510.0,"latin alternative, latin rock, mexican rock, morelos indie, rock en espanol"
383,Fetty Wap,4352254.0,"dance pop, new jersey rap, pop, pop rap, rap, southern hip hop, trap"
384,Danny Ocean,4342381.0,"pop venezolano, reggaeton, trap latino"
385,Ty Dolla $ign,4339428.0,"dance pop, hip hop, pop, pop rap, r&b, southern hip hop, trap, trap soul, urban contemporary"
386,T.I.,4332136.0,"atl hip hop, dance pop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
387,Kane Brown,4331772.0,"black americana, contemporary country, country, country road"
388,Dhanush,4313838.0,"filmi, kollywood, tamil pop"
389,Shaan,4304261.0,"desi pop, filmi, modern bollywood"
390,Dalex,4284983.0,"r&b en espanol, reggaeton, trap latino"
391,Skillet,4270681.0,"alternative metal, christian alternative rock, christian music, christian rock"
392,DNCE,4266483.0,"dance pop, pop, post-teen pop, uk pop"
393,Simon & Garfunkel,4266197.0,"classic rock, folk, folk rock, melancholia, mellow gold, rock"
394,Eazy-E,4261509.0,"g funk, gangster rap, hardcore hip hop, hip hop, rap, west coast rap"
395,Lynyrd Skynyrd,4251746.0,"album rock, blues rock, classic rock, country rock, hard rock, mellow gold, rock, southern rock"
396,Gustavo Mioto,4248012.0,"arrocha, sertanejo, sertanejo pop, sertanejo universitario"
397,ScHoolboy Q,4244741.0,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop"
398,Franco De Vita,4231118.0,"latin arena pop, latin pop, rock en espanol"
399,Thomas Rhett,4211796.0,"contemporary country, country, country road"
400,Megadeth,4203669.0,"album rock, alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal"
